EXP,Time,Conc,Size,Salinity,O2,pH,OM,NO3wat,NO2wat,NH4wat,NO3sed,NO2sed,NH4sed,Cuenv,Feenv,Cuexc,Feexc,DAPI,Foldch16S,nosZ,nirS,nirK,copy16,copynos,copynir
EXP1,1,0,50nm,21psu,5.4,8.08,0.97,40.65,0.6,13.2,12.37,7.39,96.71,3.2,3.93,,,,,,,,,,
EXP1,1,0.01,50nm,21psu,4.8,8.08,0.84,36.91,0.61,14.12,9.27,7.52,133.62,3.72,2.72,,,,,,,,,,
EXP1,1,0.1,50nm,21psu,4.5,8,1.12,40.2,0.47,12.54,6.45,7.33,122.29,3.81,5.43,,,,,,,,,,
EXP1,1,1,50nm,21psu,4.9,7.23,1.02,38.93,0.45,12.43,9,8.26,143.56,2.7,4.32,,,,,,,,,,
EXP1,4,0,50nm,21psu,4.7,8.05,0.88,32.32,1.18,23.69,8.5,7.63,122.54,4.2,5,,,,,,,,,,
EXP1,4,0.01,50nm,21psu,4.9,8.06,1.05,32.7,0.97,18.02,8.45,7.22,126.04,4.69,6.03,,,,,,,,,,
EXP1,4,0.1,50nm,21psu,4.8,8.07,1.26,36.48,0.75,12.12,9.17,7.01,135.74,3.7,3.88,,,,,,,,,,
EXP1,4,1,50nm,21psu,4.8,7.8,1.08,38.26,0.66,15.59,11.53,7.77,131.75,7.61,6.39,,,,,,,,,,
EXP1,7,0,50nm,21psu,4.8,8.15,1.01,31.94,1.08,24.88,7.54,7.67,148.04,3.7,3.62,,,,,,,,,,
EXP1,7,0.01,50nm,21psu,4.8,8.16,1.03,30.6,0.99,18.12,7.02,7.43,157,3.76,3.9,,,,,,,,,,
EXP1,7,0.1,50nm,21psu,4.7,8.06,1.03,28.44,1.18,34.56,7.6,7.71,230.16,4.15,4.37,,,,,,,,,,
EXP1,7,1,50nm,21psu,4.8,7.85,0.94,26.43,0.93,30.78,6.79,6.99,139.4,4.67,4.71,,,,,,,,,,
EXP1,24,0,50nm,21psu,5,8.12,0.97,44.97,4.57,69.85,8.41,8.03,325.89,2.69,3.45,,,,,,,,,,
EXP1,24,0.01,50nm,21psu,5,8.26,0.98,41.86,3.8,77.75,8.29,8.05,210.21,2.78,4.65,,,,,,,,,,
EXP1,24,0.1,50nm,21psu,5.1,8.29,0.98,44.95,2.78,75.8,10.87,7.71,238.23,4.72,5.31,,,,,,,,,,
EXP1,24,1,50nm,21psu,5.2,8.08,1.02,6.11,0.99,80.65,5.36,7.8,209.39,5,5.61,,,,,,,,,,
EXP1,48,0,50nm,21psu,5.1,8.29,1.05,34.58,7.66,78.72,6.26,7.52,255.82,3.25,3.34,,,,,,,,,,
EXP1,48,0.01,50nm,21psu,5,8.29,0.97,39.93,5.11,27.77,8.62,7.2,296.97,3.74,3.87,,,,,,,,,,
EXP1,48,0.1,50nm,21psu,3.8,7.84,1.25,14.13,6.71,213.46,5.14,7.31,299.18,3.63,4.37,,,,,,,,,,
EXP1,48,1,50nm,21psu,4.5,8.28,0.73,39.1,1.6,11.39,8.55,7.79,179.9,5.21,4.8,,,,,,,,,,
EXP1,144,0,50nm,21psu,4.9,8.65,1.24,245.09,0.17,92.23,8.59,7.33,367.44,3.28,4.18,,,,,,,,,,
EXP1,144,0.01,50nm,21psu,4.8,8.59,1.13,167.59,0.17,88.4,6.97,7.22,195.05,3.73,4.78,,,,,,,,,,
EXP1,144,0.1,50nm,21psu,4.9,8.31,1.07,184.09,0.25,89.88,7.2,9.29,161.65,5.96,6.1,,,,,,,,,,
EXP1,144,1,50nm,21psu,5.3,8.57,1.01,66.42,0.25,80.43,6.46,6.71,118.14,3.17,3.66,,,,,,,,,,
EXP2,1,0,50nm,9psu,5.1,8.08,1.03,55.99,0.15,10.32,11.66,6.93,119.67,5.6,3.54,,,,,,,,,,
EXP2,1,0.01,50nm,9psu,5.5,8.11,1.04,34.34,0.1,7.8,10.69,6.93,96.25,5.67,3.51,,,,,,,,,,
EXP2,1,0.1,50nm,9psu,5,8.05,0.99,46.68,0.23,12.31,7.13,7.01,123.93,6.09,7.08,,,,,,,,,,
EXP2,1,1,50nm,9psu,5,7.32,0.98,37.74,0.24,15.07,9.77,7.08,107.86,6.07,5.57,,,,,,,,,,
EXP2,4,0,50nm,9psu,5.4,8.1,1.17,36.24,0.39,17.91,5.2,6.83,118.3,6.66,4.26,,,,,,,,,,
EXP2,4,0.01,50nm,9psu,5.3,8.11,1.02,61.78,0.39,15.64,6.67,6.93,109.71,5.24,4.23,,,,,,,,,,
EXP2,4,0.1,50nm,9psu,5.2,8.06,0.96,63.66,0.4,11.74,8.24,7.1,104.15,7.11,4.67,,,,,,,,,,
EXP2,4,1,50nm,9psu,5.3,7.89,1.22,59.31,0.69,20.18,4.06,6.83,108.54,6.63,4.34,,,,,,,,,,
EXP2,7,0,50nm,9psu,4.8,8.08,1.16,59.82,0.4,14.68,5.18,7.07,116.31,5.74,3.94,,,,,,,,,,
EXP2,7,0.01,50nm,9psu,4.9,8.03,1.26,52,0.53,29.54,4.93,7.1,110.95,8.05,5.68,,,,,,,,,,
EXP2,7,0.1,50nm,9psu,4.8,8.07,1.02,62.08,0.52,11.78,5.61,6.96,122.01,6.2,4.76,,,,,,,,,,
EXP2,7,1,50nm,9psu,4.9,7.88,0.99,60.85,0.43,10.71,6.53,6.91,109.37,6.67,4.45,,,,,,,,,,
EXP2,24,0,50nm,9psu,5,8.21,1.06,73.34,0.74,11,7.44,7.03,112.53,6.69,3.43,,,,,,,,,,
EXP2,24,0.01,50nm,9psu,5.1,8.2,1.15,66.45,0.37,4.97,6.3,7.3,127.43,7.48,3.13,,,,,,,,,,
EXP2,24,0.1,50nm,9psu,5.2,8.24,1.19,46.91,1.22,35.03,6.24,7.2,127.16,6.68,4.72,,,,,,,,,,
EXP2,24,1,50nm,9psu,5,8.26,0.98,3.22,0.12,2.93,5.13,7.17,130.94,7.61,3.07,,,,,,,,,,
